Date,GORH,GPRH,GPTH,LPRH,OPRH,OPT,WCTH,WIRH,WITH,WPRH,WPTH
36906,183.9999847,1668560.5,529099136,10009.1543,9068.263672,2875538.75,0.094003022,9275.868164,2755666.5,940.8907471,206232.8438
36911,183.9999847,1668560.5,537441920,10009.1543,9068.263672,2920880.25,0.094003022,9275.868164,2802045.75,940.8907471,210937.2969
36916,183.9999847,1668560.5,545784768,10009.1543,9068.263672,2966221.5,0.094003022,9275.868164,2848425.25,940.8907471,215641.7656
36919.5,183.9999847,1668560.5,551624704,10009.1543,9068.263672,2997960.5,0.094003022,9275.868164,2880890.75,940.8907471,218934.875
36923,183.9999847,1668560.5,557464640,10009.1543,9068.263672,3029699.25,0.094003022,9275.868164,2913356.25,940.8907471,222228
36924,184.0000153,1411976.375,558876672,8521.879883,7673.78418,3037373.25,0.099519849,9299.966797,2922656.25,848.0962524,223076.0938
36927,184.0000153,1411976.375,563112576,8521.879883,7673.78418,3060394.5,0.099519849,9299.966797,2950556,848.0962524,225620.375
36932,184.0000153,1411976.375,570172480,8521.879883,7673.78418,3098763.5,0.099519849,9299.966797,2997056,848.0962524,229860.8594
36937,184.0000153,1411976.375,577232320,8521.879883,7673.78418,3137132.25,0.099519849,9299.966797,3043555.75,848.0962524,234101.3438
36942,184.0000153,1411976.375,584292224,8521.879883,7673.78418,3175501.25,0.099519849,9299.966797,3090055.5,848.0962524,238341.8281
36946.5,184.0000153,1411976.375,590646144,8521.879883,7673.78418,3210033.25,0.099519849,9299.966797,3131905.5,848.0962524,242158.25
36951,184.0000153,1411976.375,597000000,8521.879883,7673.78418,3244565.25,0.099519849,9299.966797,3173755.25,848.0962524,245974.6875
36952,184.0000458,1404558.375,598404544,8454.525391,7633.467773,3252198.75,0.097114518,14141.51953,3187896.75,821.0570679,246795.75
36955,184.0000458,1404558.375,602618240,8454.525391,7633.467773,3275099.25,0.097114518,14141.51953,3230321.25,821.0570679,249258.9219
36955.5,184.0000458,1404558.375,603320512,8454.525391,7633.467773,3278916,0.097114518,14141.51953,3237392.25,821.0570679,249669.4531
36956.125,184.0000458,1404558.375,604198400,8454.525391,7633.467773,3283686.75,0.097114518,14141.51953,3246230.5,821.0570679,250182.6094
36957.10156,184.0000458,1404558.375,605569984,8454.525391,7633.467773,3291141.5,0.097114518,14141.51953,3260040.75,821.0570679,250984.4219
36958.62744,184.0000458,1404558.375,607713216,8454.525391,7633.467773,3302789.25,0.097114518,14141.51953,3281619,821.0570679,252237.25
36958.86588,184.0000458,1404558.375,608048064,8454.525391,7633.467773,3304609,0.097114518,14141.51953,3284990.5,821.0570679,252433.0156
36959.16388,184.0000458,1404558.375,608466688,8454.525391,7633.467773,3306884,0.097114518,14141.51953,3289205,821.0570679,252677.7031
