OPR,OPRH,GPR,GPRH,WCT,WCTH,OPT,OPTH,GPT,GPTH,WPT,WPTH,Date,BHP,GOR,PI,Temperature
1531.634644,1664.161011,1487849,306205.5938,0.133861855,0.061708622,1040588.125,323268.5,190615968,59481408,184872.1406,6020.833984,135,213.8740997,183.9999847,176.4139862,413.7235
1525.684326,1664.161011,1489916.5,306205.5938,0.131768689,0.061708622,1081442.625,331589.3125,198065552,61012436,191072.5,6568.068359,140,213.2146149,183.9999847,171.4073944,413.705
1520.220825,1664.161011,1491840.5,306205.5938,0.129802272,0.061708622,1122366.375,339910.125,205524752,62543464,197176.8594,7115.302734,145,212.5409241,183.9999847,166.7451324,413.6865
1516.401245,1664.161011,1493095.75,306205.5938,0.128514916,0.061708622,1151045.125,345734.6875,210750592,63615184,201406,7498.366699,148.5,212.0679626,183.9999847,163.577713,413.668
1516.083496,1664.161011,1493236.75,306205.5938,0.128387988,0.061708622,1153913.25,346317.1563,211273216,63722356,201828.5,7536.67334,148.8500061,212.0205841,183.9999847,163.2624664,413.6495
1515.599243,1664.161011,1493386.125,306205.5938,0.128232509,0.061708622,1157499,347045.2188,211926576,63856324,202355.9375,7584.556152,149.2875061,211.960556,183.9999847,162.8701477,413.631
1514.799561,1664.161011,1493610.375,306205.5938,0.127997085,0.061708622,1163102.875,348182.8125,212947600,64065644,203178.5,7659.373535,149.9710999,211.8684845,183.9999847,162.2601166,413.6125
1513.69165,1664.161011,1493944.625,306205.5938,0.127645046,0.061708622,1171421.625,349871.0313,214463136,64376272,204395.7188,7770.402344,150.9855499,211.7320404,183.9999847,161.3672333,413.594
1512.578491,1664.161011,1494273.875,306205.5938,0.127299011,0.061708622,1179742.875,351559.25,215979008,64686904,205609.5156,7881.431152,152,211.5954895,183.9999847,160.4852448,413.5755
1637.524902,1737.487061,1352685.125,319697.5938,0.134126455,0.114873283,1187186.875,353296.75,217331696,65006604,206762.6094,8106.925293,153,210.285965,183.9999847,158.5068207,413.557
1633.327026,1737.487061,1352538.375,319697.5938,0.133954957,0.114873283,1209525,358509.1875,221389312,65965696,210217.75,8783.407227,156,209.7039948,183.9999847,155.1904144,413.5385
1624.40625,1737.487061,1353213.75,319697.5938,0.13333942,0.114873283,1246773.125,367196.625,228155376,67564184,215948.5313,9910.87793,161,209.5253143,183.9999847,151.815094,413.52
1614.105591,1737.487061,1354331.375,319697.5938,0.132738069,0.114873283,1284031,375884.0625,234927040,69162672,221651,11038.34863,166,209.9740143,183.9999847,150.0261688,413.5015
1603.034424,1737.487061,1355704.5,319697.5938,0.132175982,0.114873283,1321292.5,384571.5,241705552,70761160,227326.2031,12165.81934,171,210.8210602,183.9999847,149.1767426,413.483
1591.582153,1737.487061,1357093.75,319697.5938,0.131785959,0.114873283,1358549.125,393258.9375,248491024,72359648,232981.3906,13293.28906,176,211.9137268,183.9999847,148.8077393,413.4645
1584.957153,1737.487061,1357942.125,319697.5938,0.131629214,0.114873283,1380899.75,398471.4063,252564848,73318744,236369.3438,13969.77148,179,212.6482849,183.9999847,148.727951,413.446
1578.744873,1737.487061,1358933.75,319697.5938,0.131416917,0.114873283,1403247.75,403683.875,256641648,74277832,239750.5938,14646.25391,182,213.448288,183.9999847,148.7683105,413.4275
1968.992676,2132.603027,1329698.75,392398.9063,0.142987415,0.141419023,1410563.25,405816.4688,257971360,74670232,240971.1406,14997.52051,183,209.7287903,183.9999695,145.4111176,413.409
1960.924927,2132.603027,1329021.875,392398.9063,0.143775627,0.141419023,1432494.875,412214.2813,261958416,75847432,244653.8594,16051.31934,186,209.5548248,183.9999695,142.5131226,413.3905
1947.924194,2132.603027,1329321.75,392398.9063,0.144436896,0.141419023,1469015.25,422877.2813,268605024,77809424,250819.2656,17807.65234,191,210.0680847,183.9999695,139.7801056,413.372
1936.116333,2132.603027,1330106,392398.9063,0.144835204,0.141419023,1505508,433540.3125,275255552,79771416,256999.8594,19563.98242,196,210.8397217,183.9999695,137.9012909,413.3535
1925.423218,2132.603027,1331086.875,392398.9063,0.145080999,0.141419023,1541977,444203.3125,281911008,81733416,263188.6875,21320.31445,201,211.7112885,183.9999695,136.5359955,413.335
1915.891113,2132.603027,1332133,392398.9063,0.145209029,0.141419023,1578426.375,454866.3438,288571648,83695408,269380.5938,23076.64648,206,212.6312256,183.9999695,135.5755157,413.3165
1909.558716,2132.603027,1332808.375,392398.9063,0.145295486,0.141419023,1603932,462330.4375,293236480,85068800,273716.4375,24306.08008,209.5,213.2771301,183.9999695,134.9464874,413.298
1904.033691,2132.603027,1333560.125,392398.9063,0.145287916,0.141419023,1629430.75,469794.5625,297903936,86442200,278050.8125,25535.51172,213,213.9214478,183.9999695,134.4801178,413.2795
1878.925659,2093.759033,1256513.25,385251.6875,0.148284048,0.148614183,1636294.5,471888.3125,299160448,86827448,279245.8125,25900.99023,214,214.3695526,184.0000153,134.5322113,413.261
1875.03186,2093.759033,1257135.375,385251.6875,0.148330361,0.148614183,1656879.5,478169.5938,302931872,87983208,282831,26997.42188,217,214.9933472,184.0000153,134.4621429,413.2425
1869.973633,2093.759033,1258420.25,385251.6875,0.148052156,0.148614183,1691182.125,488638.375,309223968,89909464,288792.125,28824.80859,222,215.9483948,184.0000153,134.5066681,413.224
1866.177856,2093.759033,1259812.25,385251.6875,0.147593483,0.148614183,1725484.625,499107.1875,315523040,91835720,294731.5625,30652.19531,227,216.8538513,184.0000153,134.7592468,413.2055
1863.428467,2093.759033,1261278.125,385251.6875,0.147001803,0.148614183,1759791.25,509575.9688,321829408,93761984,300643.8125,32479.58203,232,217.7211304,184.0000153,135.2039642,413.187
1861.546021,2093.759033,1262794.75,385251.6875,0.146306351,0.148614183,1794105.75,520044.7813,328143392,95688240,306524.6563,34306.96875,237,218.552002,184.0000153,135.8128967,413.1685
1860.067627,2093.759033,1263706.5,385251.6875,0.145793498,0.148614183,1818128.75,527372.9375,332566368,97036624,310624.8125,35586.14063,240.5,219.1141205,184.0000153,136.2497864,413.15
1858.931641,2093.759033,1264582.75,385251.6875,0.145263731,0.148614183,1842155.625,534701.0625,336992416,98385000,314708.2188,36865.3125,244,219.6472931,184.0000153,136.7004242,413.1315
1796.578613,2010.439941,1198256.625,369920.9063,0.146490335,0.1565478,1848657.375,536711.5,338190656,98754920,315824.1563,37238.45703,245,220.5039063,183.9999847,137.3035736,413.113
1795.586914,2010.439941,1199085.875,369920.9063,0.146040753,0.1565478,1868163.375,542742.875,341787936,99864688,319159.9688,38357.89063,248,221.157608,183.9999847,138.2016449,413.0945
1795.018188,2010.439941,1200526.875,369920.9063,0.145105526,0.1565478,1900682.75,552795.0625,347790560,101714288,324679.6563,40223.61719,253,222.0435638,183.9999847,139.4720001,413.076
1794.843628,2010.439941,1201928.375,369920.9063,0.144157961,0.1565478,1933213.375,562847.25,353800192,103563896,330159.0938,42089.33984,258,222.8426666,183.9999847,140.6943054,413.0575
1794.872803,2010.439941,1203275.625,369920.9063,0.143229455,0.1565478,1965755.5,572899.4375,359816576,105413496,335599.2813,43955.06641,263,223.5856476,183.9999847,141.9256744,413.039
1795.037842,2010.439941,1204550.75,369920.9063,0.14233835,0.1565478,1998309.125,582951.625,365839328,107263104,341001.9063,45820.78906,268,224.2738647,183.9999847,143.1734467,413.0205
1795.321045,2010.439941,1205320,369920.9063,0.141789272,0.1565478,2017845.75,588982.9375,369455296,108372864,344229.6563,46940.22656,271,224.6790009,183.9999847,144.0255737,413.002
1795.606812,2010.439941,1206059,369920.9063,0.141259536,0.1565478,2037386.75,595014.3125,373073472,109482632,347444.0938,48059.66016,274,225.0668335,183.9999847,144.8802643,412.9835
1739.175781,1925.38501,1154033.75,354270.9063,0.141991287,0.17028591,2043616.375,596939.6875,374227488,109836896,348475.0313,48454.81641,275,225.8257294,184.0000305,145.6276703,412.965
